Year,Index,Name,Gender,Microphone,Accent
2014-15,33,s1439222,f,CAD_U37_USB,NN Denmark
2014-15,34,s1440080,m,logitech_headset,NN Mexico
2014-15,36,s1449834,f,logitech_headset,NN Greece
2014-15,38,s1458392,f,logitech_headset,NN Germany
2014-15,40,s1462881,f,apple_headphones,NA
2014-15,42,s1464908,f,logitech_headset,NN Belgium
2014-15,43,s1466633,m,logitech_headset,NN Japan
2014-15,44,s1466724,f,logitech_headset,NN Italy
2014-15,49,s1473254,f,logitech_headset,NA
2015-16,1,s0838587,m,logitech_headset,NN Poland
2015-16,2,s1567647,m,logitech_headset,NA
2015-16,3,s1574163,m,logitech_headset,UK
2015-16,4,s1566512,f,logitech_headset,NN Italy
2015-16,6,s1520582,m,logitech_headset,NN Germany
2015-16,8,s1565865,f,logitech_headset,NN China
2015-16,9,s1533593,m,logitech_headset,NN Italy
2015-16,11,s1423284,f,logitech_headset,NN China
2015-16,13,s1212806,f,apple_headphones,NN mixed
2015-16,15,s0907677,f,logitech_headset,NN Poland
2015-16,17,s1205542,m,logitech_headset,UK
2015-16,19,s1564606,f,logitech_headset,NA
2015-16,20,s1119520,m,logitech_headset,NN Lithuania
2015-16,21,s1564218,f,microsoft_headset,NA
2015-16,25,s1523985,f,microsoft_headset,NA
2015-16,26,s1551548,f,logitech_headset,NN China
2015-16,28,s1571333,m,logitech_headset,NN France
2015-16,30,s1204698,f,logitech_headset,NN Italy
2015-16,31,s1344727,m,realtek_high_definition_audio,NN Italy
2015-16,32,s1115924,f,logitech_headset,UK
2015-16,36,s1345679,m,logitech_headset,NN Hungary
2015-16,37,s1206798,m,logitech_headset,NN Germany
2015-16,38,s1245738,m,logitech_headset,NN Slovakia
2015-16,40,s1247563,m,logitech_headset,NN Belgium
2015-16,42,s1248784,f,logitech_headset,NN Austria
2015-16,43,s1241360,f,logitech_headset,NN India
2015-16,44,s1219096,m,apple_headphones,SC
2015-16,49,s1354741,m,logitech_headset,NN Czech Republic
2015-16,50,s1213677,m,apple_headphones,UK
2016-17,0,s1680167,m,laptop,NN Germany (clevo-w840su)
2016-17,2,s1676942,m,laptop,NN Germany (macbook)
2016-17,3,s1326224,m,laptop,SC
2016-17,4,s1616820,f,laptop,NA
2016-17,6,s1668016,f,laptop,NN France (macbook)
2016-17,7,s1451606,f,laptop,NA
2016-17,9,s1684093,m,laptop,NN Sweden (macbook)
2016-17,10,s1640648,f,laptop,NA
2016-17,12,s1624468,m,laptop,NN China
2016-17,14,s1522469,?,laptop,NN China
2016-17,17,s1679421,m,laptop,NN Netherlands (macbook)
2016-17,18,s1631008,f,laptop,NN China
2016-17,19,s1312747,m,iMac,NA
2016-17,21,s1671540,m,laptop,NN China
2016-17,22,s1469488,m,laptop,NN China
2016-17,23,s1671123,m,laptop,NN China
2016-17,24,s1649890,m,laptop,UK
2016-17,25,s1674500,f,iMac,NN Austria/Scotland
2016-17,27,s1443906,m,laptop,GA (macbook)
2016-17,28,s1217013,m,LogitechA-0060A,UK
2016-17,29,s1569669,f,laptop,NN Greece (macbook)
2016-17,31,s1525891,m,laptop,NA
2016-17,37,s1309096,m,iMac,NN Romania
2016-17,43,s1537176,m,laptop,NN China
2016-17,44,s1306782,m,laptop,NN Denmark (macbook)
2016-17,45,s1454439,f,laptop,NN Germany (macbook)
2017-18,0,s1777805,f,iMac,NN Norway
2017-18,5,s1775230,f,iMac,NN Canada Quebec
2017-18,6,s1408393,f,iMac,UK
2017-18,7,s1719048,f,iMac,NN China
2017-18,8,s1773886,m,iMac,NA
2017-18,9,s1792565,m,iMac,UK
2017-18,10,s1322332,m,iMac,UK
2017-18,19,s1776575,f,iMac,NN HongKong
2017-18,21,s1718204,m,iMac,NN China
2017-18,22,s1788803,m,iMac,NN Denmark
2017-18,23,s1240595,m,iMac,NA
2017-18,25,s1770642,f,iMac,NN China
2017-18,26,s1783009,m,iMac,UK
2017-18,28,s1444618,f,iMac,NN Germany
2017-18,30,s1546267,m,laptop,NN China
2017-18,32,s1357269,f,iMac,NA
2017-18,33,s1789553,m,iMac,NN Netherlands
2017-18,34,s1672756,m,iMac,UK
2017-18,35,s1531466,f,iMac,UK
2017-18,36,s1789699,f,iMac,NN Spain (Catalonia)
2017-18,38,s1720613,g,iMac,NN China
2017-18,40,s1727834,g,iMac,NN France
2017-18,41,s1532662,m,iMac,UK
2017-18,44,s1718768,f,iMac,NN China
2017-18,47,s1780852,f,iMac,NN Netherlands
2017-18,48,s1408442,f,iMac,UK
2017-18,49,s1789041,f,iMac,NN Germany
2017-18,54,s1313407,f,iMac,NA
2017-18,55,s1305077,f,iMac,UK
2017-18,58,s1778033,f,iMac,NA
2017-18,59,s1513071,m,iMac,NN Cyprus
2018-19,0,s1777759,m,iMac,NN China
2018-19,1,s1881336,f,iMac,UK
2018-19,3,s1873815,f,iMac,NA
2018-19,6,s1888641,m,iMac,UK
2018-19,7,s1876797,f,iMac,NN Taiwan
2018-19,8,s1834488,f,iMac,NN China
2018-19,9,s1820672,m,iMac,NN China
2018-19,10,s1821905,f,iMac,NN China
2018-19,11,s1689291,f,iMac,NA
2018-19,12,s0830510,m,iMac,UK
2018-19,19,s1853296,f,iMac,NA
2018-19,20,s1444568,f,iMac,NA
2018-19,21,s1826182,f,iMac,NN China
2018-19,22,s1879088,m,iMac,NN Chile
2018-19,23,s1630726,m,iMac,NN China
2018-19,24,s1834482,f,iMac,NA
2018-19,25,s1818420,f,iMac,NN China
2018-19,26,s1682062,m,iMac,NN China
2018-19,27,s1877776,f,iMac,NN Korea
2018-19,28,s1856289,f,iMac,NA
2018-19,30,s1879523,f,iMac,UK
2018-19,31,s1832577,m,iMac,NA
2018-19,32,s1509520,f,iMac,NA
2018-19,33,s1885873,m,iMac,UK
2018-19,34,s1451567,m,iMac,NN Singapore
2018-19,35,s1406597,m,iMac,SC
2018-19,36,s1681275,f,iMac,NA
2018-19,37,s1879338,f,iMac,NN China
2018-19,41,s1604424,m,iMac,NN Hong_Kong
2018-19,43,s1608591,m,iMac,UK
2018-19,44,s1531206,m,iMac,UK
2018-19,45,s1893594,m,iMac,NA
2018-19,46,s1605551,f,iMac,NN Sweden
2018-19,47,s1888630,f,iMac,NN Greece
2018-19,49,s1457828,f,iMac,NA
2018-19,50,s1879517,f,iMac,NN Germany
2018-19,52,s1512295,m,iMac,NN Finland
2018-19,55,s1647760,f,iMac,NN Malaysia
2019-20,0,s1616573,f,SamsungS7,UK
2019-20,1,s1681906,f,apple_iphone_8,NN China
2019-20,2,s1995221,m,google_pixel_2_xl,AZ
2019-20,3,s1621503,m,oneplus_6,NN Portugal
2019-20,4,s2002376,m,apple_iphone_xr,NN China
2019-20,5,s1740779,m,apple_iphone_7,NA
2019-20,6,s1508979,f,apple_iphone_5se,UK
2019-20,7,s1303513,f,apple_iphone_SE,UK
2019-20,8,s1940451,m,iPhone_8,NN Netherlands
2019-20,9,s1941395,m,google_pixel_2xl,NA
2019-20,10,s1916940,f,apple_iphone_7_plus,NN China
2019-20,13,s1511198,f,apple_iphone_x,NA
2019-20,14,s1990816,f,samsung_s8,NA
2019-20,15,s1651681,f,apple_iphone_5s,UK
2019-20,16,s1784888,m,laptop,NN China
2019-20,17,s1826151,f,huawei_p30,NN China
2019-20,18,s1878472,f,HUAWEI_nova_2,NN Germany
2019-20,19,s1933640,m,apple_iphone_8,NN China
2019-20,20,s1988523,f,samsung_galaxy_s8,NA
2019-20,21,s2000148,m,apple_iphone_6s,NN Denmark
2019-20,23,s1994964,m,oneplus_5,NA
2019-20,24,s1904181,m,apple_iphone_x,NN China
2019-20,25,s1935621,f,apple_iphone_xr,NN China
2019-20,26,s1705411,m,motorola_moto_g5,UK
2019-20,27,s1611517,m,samsung_galaxy_s10e,NA
2019-20,28,s1717837,f,google_pixel_2,UK
2019-20,29,s1939017,f,apple_iphone_8,NN China
2019-20,32,s1735938,m,apple_iphone_X,NN China
2019-20,33,s1983839,f,Samsung_Galaxy_S6,NN Germany
2019-20,36,s1983536,f,apple_iphone_8,NA
2019-20,37,s1872685,m,samsung_galaxy_j5,NN Chile
2019-20,38,s0910315,f,moto_g5,UK
2019-20,39,s1999298,f,moto_c_plus,NN Ukraine
2019-20,40,s1796075,m,iPhone_X,UK
2019-20,43,s1306161,f,motorola_moto_g7_plus,NN Finland
2019-20,44,s1995898,m,iphone_xr,Singapore
2019-20,45,s1510868,m,apple_iphone_10,AZ
2019-20,46,s1999989,f,apple_iphone_8,NN Germany
2019-20,47,s1706878,m,samsung_galaxy_s8,UK
2019-20,48,s1766810,f,apple_iphone8,NN Hungary
2019-20,49,s1926421,f,apple_iphone_xr,NN China
2019-20,50,s1702630,f,apple_iphone_se,NN China
